Name,Address,Phone
Hôtel Des Marquisats,6 chemin Colmyr 74000 Annecy  ,04 50 51 52 34
Hotel Des Alpes,12 rue Poste 74000 Annecy  ,Opposé aux opérations de marketing
Splendid Hôtel,4 quai Eustache Chappuis 74000 Annecy  ,Opposé aux opérations de marketing
Hôtel Carlton,5 rue Glières 74000 Annecy  ,04 50 45 04 56
De Savoie Hotel,1 place St François de Sales 74000 Annecy  ,04 50 45 20 00
Mercure Annecy Centre,26 rue Vaugelas 74000 Annecy  ,04 50 10 09 09
Ibis Hotel Annecy Centre Vieille Ville,12 rue Gare 74000 Annecy  ,09 80 54 38 04
Hôtel Ibis Styles Annecy Centre Gare,1 place Mandallaz 74000 Annecy  ,04 50 45 59 80
Les Terrasses,15 rue Louis Chaumontel 74000 Annecy  ,04 50 45 43 21
Novotel Annecy Centre Atria,1 Place Marie Curie 1 avenue Berthollet 74000 Annecy  ,04 50 45 51 74
Hôtel Alexandra,19 rue Vaugelas 74000 Annecy  ,04 50 57 08 98
L'Impérial Palace,allée Impérial 74000 Annecy  ,04 50 33 54 54
Hôtel Catalpa,34 avenue Albigny 74000 Annecy  ,Opposé aux opérations de marketing
Hotel Hébé,5 avenue Aléry 74000 Annecy  ,Opposé aux opérations de marketing
Allobroges Hôtel,11 rue Sommeiller 74000 Annecy  ,04 50 52 84 33
Les Loges Annecy Vieille Ville,35 rue Ste Claire 74000 Annecy  ,04 50 09 30 00
Auberge Du Lyonnais,9 rue République 74000 Annecy  ,04 50 23 02 46
Icone Hotel,1 faubourg Balmettes 74000 Annecy  ,04 50 32 73 01
Best Western Hôtel International,19 Av Rhone avenue Thiou 74000 Annecy  ,04 50 45 03 11
Bellevue,90 avenue Genève 74000 Annecy  ,04 50 66 02 49
Hôtel Bonlieu,5 rue Bonlieu 74000 Annecy  ,04 50 45 17 16
Novel,69 avenue France 74000 Annecy  ,04 50 23 75 74
Hôtel du Château,16 rampe Château 74000 Annecy  ,04 50 45 27 66
La Rotonde,Les Trésoms Lake & Spa Resort 15 boulevard Corniche 74000 Annecy  ,04 50 51 43 84
La Brasserie de l'Impérial,1 allée Impérial 74000 Annecy  ,04 50 09 32 32
L' Alouette,19 avenue Rhône 74000 Annecy  ,04 50 52 35 35
La Mamma,69 avenue France 74000 Annecy  ,04 50 23 75 74
Les Z'Hirondelles,7 passage Etercy 74000 Annecy  ,06 12 40 12 51
Les Trésoms,15 boulevard Corniche 74000 Annecy  ,04 50 51 43 84
HOTEL DU NORD,24 rue Sommeiller 74000 Annecy  ,04 50 45 08 78
Campanile Annecy Centre Gare,37 rue Vaugelas 74000 Annecy  ,04 50 45 05 78
Hôtel Le Pré Carré,27 rue Sommeiller 74000 Annecy  ,04 50 52 14 14
Hôtel Du Palais De L'Isle,13 rue Perrière 74000 Annecy  ,04 50 45 86 87
Novotel Cafe,Hotel Novotel Annecy Centre Atri 1 avenue Berthollet 74000 Annecy  ,04 50 33 54 54
Drieu Saint Julien,32 avenue Loverchy 74000 Annecy  ,09 53 12 02 90
Le Boutik Hôtel,2 rue Marquisats 74000 Annecy  ,04 50 44 04 40
L'evêché,9 rue Royale 74000 Annecy  ,04 50 88 53 98
Adoma,55 boulevard Fier 74000 Annecy  ,04 50 57 78 69
Artcast Digital,18 chemin Fins Sud 74000 Annecy  ,04 50 57 19 02
Cali Karma Motel,avenue France 74000 Annecy  ,06 95 41 00 18
Association des Logis de France de Haute-Savoie,20 avenue Parmelan 74000 Annecy  ,04 50 51 00 43
Auberge La Ferme de Ferrières,800 route Pringy 74000 Annecy  ,04 50 22 04 00
Hôtelière Mulhouse Sausheim (HMS SAS),8 Bis route Creuses 74960 Annecy  ,09 83 59 22 59
Auberge La Ferme De Ferrières,Auberge Ferme De Ferrieres 800 route Burnets 74370 Ferrières  ,04 50 68 63 29
Fenestraz Management,12 rue Pâquier 74000 Annecy  ,04 50 68 70 07
Résidence Hôtelière Les Chataigniers,146 route Lornard 74410 Saint Jorioz  ,09 65 23 29 87
Hôtel Restaurant les Rochers et la Chrissandière,24 route Paris 74330 La Balme de Sillingy  ,09 66 87 82 74
Les Chalets Hotel de la Croix-Fry,Pré Jean 4910 route Col de la Croix Fry 74230 Manigod  ,04 50 44 90 16
Maloveroom,120 route Maubec 38140 Beaucroissant  ,07 49 08 32 98
